BOM:,BC846,BC856,BSS138,2N7002,B5819W_C8598,KY3485,KY485
basic replacement:,MMBT2222A 1P,S9015,LBSS84LT1G,2N7002,B5819W SL,SP3485EN-L/TR,SP485EN-L/TR
